val,class
0.053175,defect
0.024184,defect
-0.02669,defect
0.020075,defect
0.066278,defect
-0.001194,defect
-0.01614,defect
-0.011161,defect
-0.012677,defect
-0.020768,defect
-0.007372,defect
0.045389,defect
0.041902,defect
0.065907,defect
-0.032757,defect
0.003628,defect
0.070171,defect
-0.022988,defect
-0.044136,defect
0.028577,defect
-0.039533,defect
-0.014907,defect
0.020442,defect
0.02259,defect
0.0171,defect
0.035145,defect
0.031682,defect
0.061689,defect
0.108262,defect
-0.122493,defect
-0.04384,defect
0.041214,defect
0.071888,defect
0.002123,defect
-0.081478,defect
0.074747,defect
0.019983,defect
-0.03478,defect
0.066017,defect
0.073422,defect
-0.078187,defect
0.084107,defect
0.053286,defect
-0.071262,defect
0.072165,defect
-0.075463,defect
0.007729,defect
0.097637,defect
-0.027312,defect
0.011862,defect
-0.0501,defect
-0.020784,defect
-0.023798,defect
0.043526,defect
0.015665,defect
0.014746,defect
0.069822,defect
-0.037755,defect
0.011494,defect
0.048132,defect
0.004419,defect
-0.025849,defect
0.078981,defect
0.08913,defect
0.019142,defect
-0.026567,defect
0.021058,defect
0.019394,defect
0.002005,defect
0.004096,defect
-0.023514,defect
0.036153,defect
-0.027224,defect
0.003648,defect
0.028797,defect
-0.037772,defect
-0.010442,defect
0.089937,defect
0.079871,defect
-0.050742,defect
-0.054989,defect
0.062127,defect
0.052797,defect
-0.041891,defect
0.043139,defect
0.048006,defect
0.02695,defect
-0.003628,defect
0.046126,defect
0.028117,defect
